Midi file name	BWV	K	B	EMB	R
017206vn.mid	172.6vln		322		
017405b_.mid	174.5	153	56	151	58
017507b_.mid	175.7	220		218	
017507ch.mid	175.7ch				
017606b_.mid	176.6	45	119	42	119
017705b_.mid	177.5	183		181	
017705bv.mid	177.5v		71		
017807b_.mid	178.7	384		384	
017906b_.mid	179.6	371	338	365	339
018007b_.mid	180.7	304		304	
018007bv.mid	180.7v		22		22
018305b_.mid	183.5	126	123	125	123
018405b_.mid	184.5	283		283	
018405bv.mid	184.5v		14		14
018506b_.mid	185.6	184		182	
018707b_.mid	187.7	308	109	309	109
018806b_.mid	188.6	25		29	
019007b_.mid	190.7	205	326	210	327
019007ch.mid	190.7ch		326		
019406b_.mid	194.6	100	256	105	256
019406bv.mid	194.6v		63		64
019412b_.mid	194.12	268	93	268	93
019412b_.mid	194.12	268	257	268	257
019506b_.mid	195.6	236		231	
019705b_.mid	197.5	255	83	255	84
019707ba.mid	197a.7		311		
019710b_.mid	197.10	370	66	366	62
022602b_.mid	226.2	221		219	69
022602bv.mid	226.2v		69		
022701b_.mid	227.1	196		204	263
022703b_.mid	227.3	198		205	
022707b_.mid	227.7	199	283	206	283
022711b_.mid	227.11	196	263	204	263
022902b_.mid	229.2	222			
024403b_.mid	244.3	166	78	164	78
024410b_.mid	244.10	294	117	292	117
024415b_.mid	244.15	163		158	
024415bv.mid	244.15v		98		98
024417b_.mid	244.17				
024425b_.mid	244.25	342	115	349	115
024429bb.mid	244b.29	247		245	
024432b_.mid	244.32	213	118	186	118
024437b_.mid	244.37	292	50	293	50
024440b_.mid	244.40	361	121	371	121
024444b_.mid	244.44	159	87	157	80
024446b_.mid	244.46	167	105	165	105
024454b_.mid	244.54	162	74	159	74
024462b_.mid	244.62	164		160	
024462bv.mid	244.62v		89		89
024503b_.mid	245.3	168	58	167	59
024505b_.mid	245.5	317		320	
024511b_.mid	245.11	293	62	294	63
024514b_.mid	245.14	192	82	200	83
024515b_.mid	245.15	49	80	49	81
024517b_.mid	245.17	169	111	166	111
024522b_.mid	245.22	239	309	235	310
024526b_.mid	245.26	315	108	314	108
024528b_.mid	245.28	193	106	199	106
024537b_.mid	245.37	50	113	50	113
024540b_.mid	245.40	154	107	152	107
024805b1.mid	248(1).5	165	344	161	345
024809b1.mid	248(1).9			323	46
024809bs.mid	248(1).9s		45		
024812b2.mid	248(2).12	80	9	83	9
024812b2.mid	248(2).12	80	360	83	361
024817b2.mid	248(2).17	323		324	
024823bs.mid	248(2).23s		343		344
024828b3.mid	248(3).28	110		111	
024833b3.mid	248(3).33	335	139	334	139
024835b3.mid	248(3).35	381	359	381	360
024842bs.mid	248(4).42s		367		368
024846b5.mid	248(5).46	214	77	187	77
024853b5.mid	248(5).53	114	34	116	35
024859b6.mid	248(5).59	263	361	261	362
024864bs.mid	248(6).64s				
025000b_.mid	250	339	346	342	347
025100b_.mid	251	89	328	91	329
025200b_.mid	252	258	329	258	330
025300b_.mid	253	1	177	1	177
025400b_.mid	254	2	186	2	186
025500b_.mid	255	3	40	4	40
025600b_.mid	256	385	31	385	31
025700b_.mid	257	388	284	386	285
025800b_.mid	258	383	335	387	336
025900b_.mid	259	10	39	10	39
026000b_.mid	260	12	249	16	249
026100b_.mid	261	15	358	18	359
026200b_.mid	262	17	153	13	153
026300b_.mid	263	19	128	19	128
026400b_.mid	264	20	159	20	159
026500b_.mid	265	21	180	21	180
026600b_.mid	266	22	208	22	208
026700b_.mid	267	23	5	23	5
026700ba.mid	267a	23	308	23	309
026800b_.mid	268	24	124	24	124
026900b_.mid	269	30	1	30	1
027000b_.mid	270	157	285	162	286
027100b_.mid	271	158	366	163	367
027200b_.mid	272	32	339	32	340
027300b_.mid	273	33	230	33	230
027400b_.mid	274	34	245	44	245
027500b_.mid	275	35	210	45	210
027600b_.mid	276	36	197	35	197
027700b_.mid	277	38	15	39	15
027800b_.mid	278	39	370	40	371
027900b_.mid	279	40	261	37	261
028000b_.mid	280	43	65	43	66
028100b_.mid	281	46	7	47	6
028200b_.mid	282	47	315	48	316
028300b_.mid	283	48	198	51	198
028300b_.mid	283	48	306	51	307
028400b_.mid	284	51	200	52	200
028500b_.mid	285	52	196	53	196
028600b_.mid	286	53	228	55	228
028700b_.mid	287	54	310	54	311
028800b_.mid	288	55	162	56	162
028900b_.mid	289	56	313	57	314
029000b_.mid	290	58	224	59	224
029100b_.mid	291	59	75	60	75
029200b_.mid	292	60	239	61	239
029300b_.mid	293	61	154	62	154
029400b_.mid	294	62	158	63	158
029500b_.mid	295	63	207	64	207
029600b_.mid	296	64	231	65	231
029700b_.mid	297	65	232	66	232
029800b_.mid	298	66	127	67	127
029900b_.mid	299	67	209	68	209
030000b_.mid	300	70	164	71	167
030100b_.mid	301	71	137	73	134
030200b_.mid	302	74	20	76	20
030300b_.mid	303	75	250	77	250
030400b_.mid	304	77	280	78	280
030500b_.mid	305	78	33	79	34
030600b_.mid	306	85	176	86	176
030700b_.mid	307	262	260	262	260
030800b_.mid	308	92	27	93	27
030900b_.mid	309	93	166	94	166
031000b_.mid	310	94	238	95	238
031100b_.mid	311	95	16	97	16
031200b_.mid	312	96	351	98	352
031300b_.mid	313	106	163	107	163
031400b_.mid	314	107	287	112	288
031500b_.mid	315	111	271	113	271
031600b_.mid	316	112	225	114	225
031700b_.mid	317	113	134	115	135
031800b_.mid	318	115	18	120	18
031900b_.mid	319	116	181	117	181
032000b_.mid	320	117	234	118	234
032100b_.mid	321	118	192	121	192
032200b_.mid	322	119	70	119	70
032300b_.mid	323	120	319	239	320
032400b_.mid	324	121	130	240	130
032500b_.mid	325	123	235	122	235
032500b_.mid	325	123	318	122	319
032600b_.mid	326	129	167	129	164
032700b_.mid	327	132	333	130	334
032800b_.mid	328	133	205	133	205
032900b_.mid	329	136	212	134	212
033000b_.mid	330	137	35	135	33
033100b_.mid	331	138	286	136	287
033200b_.mid	332	139	136	137	136
033300b_.mid	333	140	226	138	226
033400b_.mid	334	141	73	142	73
033500b_.mid	335	145	236	143	295
033500bv.mid	335v		294		
033600b_.mid	336	146	189	145	189
033700b_.mid	337	148	190	146	190
033800b_.mid	338	149	221	147	221
033900b_.mid	339	151	144	149	318
033900b_.mid	339	151	144	149	144
034000b_.mid	340	152	277	153	277
034100b_.mid	341	170	168	168	168
034200b_.mid	342	171	79	169	79
034300b_.mid	343	172	301	170	302
034300b_.mid	343	172	199	170	199
034400b_.mid	344	173	155	171	155
034500b_.mid	345	174	251	172	251
034600b_.mid	346	175	223	173	223
034700b_.mid	347	176	2	175	2
034800b_.mid	348	177	272	176	272
034900b_.mid	349	179	188	177	188
035000b_.mid	350	180	229	178	229
035100b_.mid	351	182	19	180	19
035200b_.mid	352	185	37	192	37
035300b_.mid	353	186	269	193	269
035400b_.mid	354	187	368	194	369
035500b_.mid	355	189	169	195	169
035600b_.mid	356	190	243	196	243
035700b_.mid	357	191	244	197	244
035800b_.mid	358	195	355	207	356
035900b_.mid	359	363	364	372	365
036000b_.mid	360	364	349	373	350
036100b_.mid	361	202	264	208	264
036200b_.mid	362	203	252	211	252
036300b_.mid	363	206	30	212	30
036400b_.mid	364	207	174	213	174
036500b_.mid	365	208	175	215	175
036600b_.mid	366	210	161	183	161
036700b_.mid	367	211	140	184	140
036800b_.mid	368	215	143	188	143
036900b_.mid	369	217	129	216	129
037000b_.mid	370	218	187	217	187
037100b_.mid	371	225	132	222	132
037200b_.mid	372	226	218	223	218
037300b_.mid	373	228	131	226	131
037300bv.mid	373v		327		328
037400b_.mid	374	232	227	229	227
037500b_.mid	375	233	276	232	276
037600b_.mid	376	234	341	233	342
037700b_.mid	377	237	44	236	44
037800b_.mid	378	240	258	237	258
037900b_.mid	379	241	151	247	151
038000b_.mid	380	242	298	246	299
038100b_.mid	381	248	345	248	346
038200b_.mid	382	249	49	251	49
038300b_.mid	383	252	214	252	214
038400b_.mid	384	253	149	253	149
038500b_.mid	385	254	36	256	36
038600b_.mid	386	257	32	259	32
038700b_.mid	387	260	185	260	185
038800b_.mid	388	261	183	263	183
038900b_.mid	389	269	268	271	268
039000b_.mid	390	270	295	272	296
039100b_.mid	391	273	222	273	222
039200b_.mid	392	298	288	295	289
039300b_.mid	393	289	275	296	275
039400b_.mid	394	290	365	297	366
039500b_.mid	395	291	362	298	363
039600b_.mid	396	274	240	274	240
039700b_.mid	397	275	274	276	274
039800b_.mid	398	277	311	282	312
039900b_.mid	399	282	314	277	315
040000b_.mid	400	284	173	284	173
040100b_.mid	401	285	165	285	165
040200b_.mid	402	286	201	286	201
040200b_.mid	402	286	305	286	306
040300b_.mid	403	287	203	287	203
040400b_.mid	404	288	60	288	57
040400bv.mid	404v		3		
040500b_.mid	405	299	213	299	213
040600b_.mid	406	300	219	300	219
040700b_.mid	407	301	202	301	202
040800b_.mid	408	303	171	303	171
040900b_.mid	409	306	141	307	
040900b_.mid	409	306	141	306	
040900bv.mid	409v		5a	306	141
041000b_.mid	410	307	172	308	172
041100b_.mid	411	309	246	310	246
041200b_.mid	412	310	206	311	206
041300b_.mid	413	311	220	312	220
041400b_.mid	414	313	148		148
041500b_.mid	415	314	24	315	24
041600b_.mid	416	316	47	319	47
041700b_.mid	417	324	363	326	364
041800b_.mid	418	325	331	327	332
041900b_.mid	419	326	114	328	114
042000b_.mid	420	331	145	332	145
042100b_.mid	421	332	299	333	300
042200b_.mid	422	334	356	335	357
042300b_.mid	423	336	237	336	237
042400b_.mid	424	337	193	337	193
042500b_.mid	425	349	241	350	241
042600b_.mid	426	351	211	351	211
042700b_.mid	427	352	147	352	147
042800b_.mid	428	353	321	355	322
042900b_.mid	429	354	51	356	52
043000b_.mid	430	355	350	357	351
043100b_.mid	431	358	68	358	68
043200b_.mid	432	359	247	359	247
043300b_.mid	433	366	135	360	137
043400b_.mid	434	367	146	367	146
043500b_.mid	435	374	242	374	242
043600b_.mid	436	375	278	378	278
043700b_.mid	437	382	133	382	133
043800b_.mid	438	389	157	388	157
